TRIP_ID,VEHICLE_ID,VEHICLE_TYPE
47ba3219-f65a-4030-b09a-c037bb64b3e2,lflf,bicycle
27695629-d7b5-48c9-9210-1c1f690bcb55,93bb,bicycle
94bb793d-06c3-4e58-b814-0109baab6628,lsc9,bicycle
6f98ec71-0cd4-4394-b87a-9830fa16960c,93bb,bicycle
c0e9e96c-0727-48ac-a42e-a7c810b5cb37,97dl,bicycle
4dda259f-c7fe-4cde-8c6d-2a69bb3ea861,5gm9,bicycle
078b46a1-15b2-40c1-8c93-8b58d4866c23,e2pb,bicycle
08d1c2a7-64cb-43e0-a1ee-ef0d8abff81d,56ej,bicycle
84186a32-7614-4765-b770-4fcba7a1fc04,ruys,bicycle
844628ba-0acc-439a-ba84-e64c0f136024,e2pb,bicycle
9321967c-9be3-477e-ab30-267f71718280,ruys,bicycle
be69f2a1-cfca-4bf8-97f1-b510a002ef75,cmqs,bicycle
8a76b3e4-3105-4491-b67b-a3722d744a3d,93bb,bicycle
d31549db-25cb-411f-8bfc-4a55ae4b7e9c,sm4q,bicycle
70bba159-77da-45a5-a87e-086244909807,e2pb,bicycle
3f76875c-e06b-4c2a-8898-9517148df623,jypd,bicycle
eba3d80c-8638-4b01-bb11-fc3119c13d91,puna,bicycle
21f2c1bd-8b61-49a6-9eb9-d3fa563820cc,jypd,bicycle
a078f73c-6fce-46f3-9b80-3661dc5597ba,sm4q,bicycle
a88b68a4-1570-4414-ac5b-09636f974a90,5gm9,bicycle
f554e406-141b-4eef-b44d-3aac7b7e0909,ruys,bicycle
cfd32aec-5951-4d71-8ddd-555d58509620,93bb,bicycle
59b1377a-3094-4ec5-baf3-c6f325c28fbb,lflf,bicycle
beea93ae-e352-46ef-b5dd-25cbf7b85d95,e2pb,bicycle
6edebd33-4620-40ce-95b2-065f4775dc46,dz3e,bicycle
dc374f72-48cc-4baa-bde6-cfe3d92761f2,56ej,bicycle
52b7ae5a-19ef-417c-9ffa-f9829999a086,elym,bicycle
541d41c6-96c5-4d57-854a-ef611f39534d,sm4q,bicycle
a3dbc83d-cb93-425c-8fac-2a980d92d874,5gm9,bicycle
b0e410e9-fe1c-41fa-822b-f109076e48c4,93bb,bicycle
bf79c585-f572-4dcc-83bb-c1e54acc1363,cmqs,bicycle
b69354f1-f12a-416a-bd29-ac64751e557d,cmqs,bicycle
6e13b837-451e-4e30-8fed-5f5dc0c30aa0,sm4q,bicycle
c08b9ea7-3f41-42e2-b572-009d32d8db8c,5gm9,bicycle
e502f3a8-5c36-4608-b346-cdf12f645fe2,56ej,bicycle
6727e4ce-c830-422c-9ecc-31e1ad0faa40,sm4q,bicycle
a298fd38-1d4f-4cb5-9837-1f3f28e46455,97dl,bicycle
47bfc408-1501-4267-a960-32830c04b521,sm4q,bicycle
83d8bc0c-1e05-443c-a737-bc529548dc52,5gm9,bicycle
d5964043-330b-4ca0-bd86-7f65ebbeb72e,sm4q,bicycle
61246676-ceb4-435a-8806-6f8ea682e582,cmqs,bicycle
5477d328-1450-40eb-9234-a9b1d397bd7f,sm4q,bicycle
ef4ec8a2-f162-4b95-8c59-8fc3d8a324be,js85,bicycle
c193189c-7154-485e-947b-ab2b6fb9d3e0,5gm9,bicycle
eab0afa3-cb70-41ec-bc23-d9804326d0df,jypd,bicycle
3bb7a1d6-e6f9-45f8-a24a-0021367fc56b,ruys,bicycle
651ebe21-a02f-45cb-aea0-e55ba8415bcd,56ej,bicycle
c317ca7e-4884-4496-b282-38e7ad7c944e,cmqs,bicycle
0808d023-dff0-4bc9-b94a-4693b8124005,56ej,bicycle
1ff871df-1405-4bc6-91d9-edcaea4c045d,56ej,bicycle
0de92e4a-9ddb-40ac-a68b-b82063e99438,jypd,bicycle
4c65a2d1-1d93-4283-a153-6be940eef28b,lsc9,bicycle
7f1ee424-daf0-4811-943b-4256f54a0699,5gm9,bicycle
1fb22b77-12f8-4820-a1fc-271b98b5b44b,56ej,bicycle
2a401332-8128-41cc-9431-32a8657eb423,93bb,bicycle
4e283d63-bb52-48f0-a5d2-7ccd73feaac3,e2pb,bicycle
41ebcb6d-9cbe-40b6-83e7-ccb48b463605,ruys,bicycle
7cfb8fac-5338-4e36-b213-c071cb5df389,93bb,bicycle
e513140b-dcfc-496b-8b6b-befe4353e979,97dl,bicycle
3dceb57c-8c0b-4af9-bc72-2a859353282c,93bb,bicycle
e97c3c58-24dd-40a8-af5e-8d588d59ccf1,e2pb,bicycle
72c85e8a-584b-42ad-a9c2-98fac7c4bae5,lflf,bicycle
d9869dea-17c2-4a7f-a94b-c3034a0ce54f,cmqs,bicycle
15a2c3f0-fd71-44c5-8748-95ad74fa2c38,lflf,bicycle
03521e36-7d47-4f44-a9e9-ca68c5b14283,5gm9,bicycle
c200545e-50c4-4add-a033-aecdba4975f6,ruys,bicycle
7c9b1d75-89ea-453d-95e9-8b3ab6b87c68,jypd,bicycle
7def0c36-b807-4a2a-ab9c-28c703e332fc,lflf,bicycle
ffcd0162-e43d-4c94-a17f-4146fccdb8e2,pupl,bicycle
e5e4cd96-650b-4a79-b2b2-28d9a60490c5,e2pb,bicycle
b85d33de-afcf-4231-b49c-1a601a8e322e,jypd,bicycle
db812877-96ee-420a-8091-a70efa0dfd3f,5gm9,bicycle
9c8360d0-a871-44e1-93ac-daff34628c38,ruys,bicycle
506c0163-3ebf-4971-9851-d60cc0bfe6f0,cmd8,bicycle
8664446f-fae9-4786-a57f-8955813f0af5,cmqs,bicycle
7a9b0df0-778c-468f-8666-80404dc905bf,ruys,bicycle
ee944b5b-1ac3-4081-88fd-eeee51bbf559,56ej,bicycle
a99343f6-dc5f-43a4-aba2-f959b58cf326,lflf,bicycle
8fd56082-4bde-4c62-8f40-c57ae11935ad,97dl,bicycle
30cc0e16-4027-4f65-9081-4bd016b5fb0f,cmqs,bicycle
6ea0301d-8ec9-4902-915a-473c19b3c072,cmqs,bicycle
444317e7-eb6f-4725-ba93-f3412adb0351,sm4q,bicycle
23c7b8c4-f075-413e-b529-7f9280f8ad69,e2pb,bicycle
87dd6ee7-4d05-4526-8519-70103e3d30ea,jypd,bicycle
5b858ab2-4405-4d14-9dce-5a897e213cef,cmqs,bicycle
aefd6ed9-3b70-4680-a994-4b0282c13d3f,56ej,bicycle
653931ac-23a5-4dec-9f19-cddc0ccbe8a7,97dl,bicycle
80f122f9-e6a2-409e-b81f-315630112821,e2pb,bicycle
a7b51ac0-30b9-4d2b-936b-3b40d374cee5,97dl,bicycle
c0adb6bd-b498-4630-9758-a75bed64b99c,jypd,bicycle
60d48650-cd2b-48f6-91e7-f5bd428150a2,56ej,bicycle
103947cd-f249-41b5-9d28-4ae85e901bb4,puna,bicycle
cd922998-2b52-401e-be9a-56b47b63e339,sm4q,bicycle
51cac1e1-e925-4736-9da3-7b492b8600c9,e2pb,bicycle
5b332adc-6072-4c59-8e7b-915232bd385c,56ej,bicycle
64f7dd1a-5e35-41cf-a11d-2853fe2499f0,e2pb,bicycle
bb2c99a7-28b5-4e9f-9265-a1d107deab5c,5gm9,bicycle
606e2bd8-a5e4-43b1-8a69-f939f35d25c9,jypd,bicycle
a4ee29b2-5034-4d66-8f1a-15b15b70bdad,sm4q,bicycle
4e56976b-2c67-40c9-a061-5c0a090a5518,56ej,bicycle
70e9780a-5024-4cdc-a5fb-62880aa22257,97dl,bicycle
1c03c182-f2c0-46ed-a51f-04c00bec0b0b,e2pb,bicycle
56190978-4e59-4b4f-8cf2-7a8791afb50c,sm4q,bicycle
23f60de4-8bb8-423b-ac55-5ee7d4cc6520,93bb,bicycle
e1ca49ed-7087-4234-b8da-77cd5ee6fdbd,sm4q,bicycle
36efd400-8eb8-42a7-b659-e99e4d4d4119,lsc9,bicycle
b2b6eadc-903e-495e-8681-a3b8520b7046,56ej,bicycle
f5b214b4-cbb2-4d81-baac-877c97a200b4,93bb,bicycle
2fc8095a-ae27-492d-b135-7ae08a92bfdd,97dl,bicycle
508aeb51-a386-455c-81a1-35b0674217db,e2pb,bicycle
1dad8684-3467-42b6-966d-2e3735c7c48f,e2pb,bicycle
43492d5d-08d4-4c3c-800c-57432c07a0da,jypd,bicycle
8c1582bd-974b-4ee3-8965-50efd8f747bd,jypd,bicycle
9cf50b95-8667-43f2-9047-29811f434eb6,56ej,bicycle
fd6b27dc-7258-4dfa-9354-94d41436abe4,ruys,bicycle
0e56fe12-f7e6-4d20-8ec0-e2f934d1b121,ruys,bicycle
79987df7-ada8-48c6-b793-17da55eaefd5,ruys,bicycle
9143adac-3b58-4054-9387-2d6d0f25de4b,lflf,bicycle
1677703f-537f-4bb2-be19-ed0ceae7e2b7,56ej,bicycle
2e9e1b89-9c9d-4d1a-a271-ae9b170ea935,dz3e,bicycle
41379491-f728-4ff6-855b-8f07ab459003,93bb,bicycle
7d24150e-2af5-45fc-90bc-f802a2b80de4,e2pb,bicycle
bfecf7d8-07b5-44c8-ad22-0232e18717c1,jypd,bicycle
62bb8cc9-cdb4-4a60-a55d-52ba4336c0f6,56ej,bicycle
f1d674df-e0e7-401c-8e74-519c54457707,56ej,bicycle
96560184-5f0d-43f8-a039-9da815fc6acd,ruys,bicycle
1f8f2a5c-b0a6-42af-80dd-ebbc16cb0454,jypd,bicycle
da50c26e-6fd2-4ebb-8df3-5373017d2fec,56ej,bicycle
9110a537-9c87-4313-a21a-0d3aced83499,97dl,bicycle
41cb332c-7513-4766-87eb-17ac6381f358,ruys,bicycle
56c639cd-9ef4-4d73-b0cd-31333c47ce72,e2pb,bicycle
f467607a-5e01-4f5f-bcf2-342900f3f5d2,cmqs,bicycle
14177523-5e9d-4da5-a878-56d8f6cd719d,ruys,bicycle
2201d644-16c5-445b-b32d-4f90d37da69d,97dl,bicycle
b7b9d53f-dc10-4127-b748-ed30a6e7b401,jypd,bicycle
26c649ba-6d93-4026-9b9d-5daf8515f4b8,97dl,bicycle
8ec2e608-8b9c-4f1a-9d5a-e5cea00c28f3,sm4q,bicycle
c312aa7f-a92e-4918-9ed0-d4b9466f3ff7,93bb,bicycle
01827b85-c6c2-4e5d-ab37-76aa4d1c8215,ruys,bicycle
f48c0f1f-8ce2-4315-bb8c-53ffa1265849,jypd,bicycle
14850cb7-1d56-44b7-a0e0-5abc24bdb5cc,e2pb,bicycle
410eba02-ef1e-4ee0-880a-f3ef4869d18d,elym,bicycle
d0b5c901-71c7-4185-a61c-94f9841989d9,ruys,bicycle
f6f48706-c017-4108-b5d4-1a2b0f6ed36a,5gm9,bicycle
87d102eb-7e90-413a-aa99-746aa5a1a1fe,ruys,bicycle
b8d61388-a60f-45db-b394-3c19c3a17c19,lflf,bicycle
ce58449c-8155-40c7-8c77-973a0fb2fcd1,pupl,bicycle
2c2aab84-c09d-4ba8-9caf-4557ad1c2c05,cmqs,bicycle
7d58bb19-5680-48b1-8886-e93d1c551126,5gm9,bicycle
2edd39ea-47b5-49ee-ac7b-5dc71b139ed3,jypd,bicycle
81c71bb4-b368-40a2-9bc7-8a62cddea5b1,cmqs,bicycle
be5d7696-9dca-47de-8fe6-bffd41a2ceb8,js85,bicycle
36369180-801f-4326-88b5-2a3711670b06,386h,bicycle
f47f487c-5278-4191-a724-7355c0bddaf2,93bb,bicycle
2f25406f-1522-4c58-aad5-b30823b0a9d2,lflf,bicycle
a5053162-4268-4a60-9047-98ea4c089687,yg8k,bicycle
5a37704f-b879-4dc8-b311-fbb2de703250,sm4q,bicycle
36cb4128-bfb2-4230-a56a-855fc4045dad,5gm9,bicycle
d71fc32b-e1a9-419a-ab82-6dd4ac090a5a,sm4q,bicycle
4f82b22f-d9c6-496b-b11d-73e9b69a986f,93bb,bicycle
867e64f1-a589-4eef-9dfd-72ec881dd4f4,5gm9,bicycle
1edf36a7-61f5-4573-b708-d4bee74f3012,5gm9,bicycle
ff3949d7-4477-4dd0-9333-4ff1c489330b,lflf,bicycle
6cb2da0a-a9ae-43f8-bdad-5c80e13b26c7,97dl,bicycle
0623ee15-5f8d-4fe1-9e3b-b165f465ad83,cmqs,bicycle
b8e239ff-a7b7-4826-bb11-4f967bba996d,sm4q,bicycle
26d1b151-ea5a-4a81-937b-abe98849d518,97dl,bicycle
8c3b143e-ef69-499f-ad55-d259a6c6a325,56ej,bicycle
3b7310bb-3901-4280-b2ff-5c8b9768139a,lflf,bicycle
6f43cd4d-e157-445b-8c04-83513c0fb754,cmqs,bicycle
3c7e48b5-9d5a-4c68-bcd4-5c0a58426f8e,jypd,bicycle
b9dca898-67c6-4fda-8273-e3d6de1ffe26,e2pb,bicycle
29ab016a-2d71-4a19-9604-3c6f9a9abc82,e2pb,bicycle
4d751402-6e0f-47fd-baef-46e43b0624f6,56ej,bicycle
56fdfa6b-d725-49c5-9ce6-765fc6953e27,lflf,bicycle
